evaluation_phase,aggregation_mode,run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,regime_name,status,query_count,latency_ms_per_query,index_size_mb,build_seconds
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfpq_nprobe4,ivfpq,short_offcenter,ok,46296,0.007150074002065986,0.21577835083007812,0.059607695000522654
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfpq_nprobe4,ivfpq,combined_moderate,ok,7716,0.0078716450233448,0.21577835083007812,0.059607695000522654
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfpq_nprobe4,ivfpq,multi_segment_same_track,ok,15432,0.007493572835636391,0.21577835083007812,0.059607695000522654
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfpq_nprobe4,ivfpq,realistic_hard,ok,7716,0.007052582944510233,0.21577835083007812,0.059607695000522654
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,clean_current,ok,15432,0.08167666277862776,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_centered,ok,46296,0.07964530991878697,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,ok,46296,0.0800413943321278,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,combined_moderate,ok,7716,0.0830739257387908,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,multi_segment_same_track,ok,15432,0.08190864994816094,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,realistic_hard,ok,7716,0.08153444777091289,3.7676210403442383,0.0023822450002626283
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,ok,15432,0.007696048276299219,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,ok,46296,0.0077628455590061304,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,ok,46296,0.0077714255227225755,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,combined_moderate,ok,7716,0.008037465655748071,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,multi_segment_same_track,ok,15432,0.00786985031106117,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,realistic_hard,ok,7716,0.008022024105712088,3.8583173751831055,0.06582234599954973
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,ok,15432,0.008089801969946462,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,ok,46296,0.008174855041481632,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,ok,46296,0.007973221293413504,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,combined_moderate,ok,7716,0.008079514256047674,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,multi_segment_same_track,ok,15432,0.008073407141042276,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,realistic_hard,ok,7716,0.008699937532436032,3.8583173751831055,0.09004661400012992
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,ok,15432,0.008769795425080043,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,short_centered,ok,46296,0.008613428589948393,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,short_offcenter,ok,46296,0.008153979976670509,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,combined_moderate,ok,7716,0.008968052877140389,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,multi_segment_same_track,ok,15432,0.008327152410581922,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,realistic_hard,ok,7716,0.008435421721174601,3.8583173751831055,0.060453815999608196
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfpq_nprobe4,ivfpq,clean_current,ok,15432,0.007636578149338146,0.3335151672363281,0.14261976200032223
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfpq_nprobe4,ivfpq,short_centered,ok,46296,0.008160318429224567,0.3335151672363281,0.14261976200032223
baseline_historical,baseline_mean,cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfpq_nprobe4,ivfpq,short_offcenter,ok,46296,0.007554500345602556,0.3335151672363281,0.14261976200032223
