run_id,model_name,augmentation_profile,embed_dim,epoch,val_loss,clean_top1,clean_top5,clean_top10,clean_mrr,noise_top1,pitch_top1,time_top1,lowpass_top1,highpass_top1,checkpoint_path,notes
cnn_baseline_embed128,cnn,baseline,128,6,0.16130851351601236,0.99625,1.0,1.0,0.998125,0.93625,0.83625,0.98,0.73375,0.03375,/content/song_fingerprinting_outputs/cnn_baseline_embed128/checkpoint_best.pt,Best checkpoint selected by validation NT-Xent loss.
hybrid_transformer_baseline_embed128,hybrid_transformer,baseline,128,6,0.0814795856062761,0.99625,1.0,1.0,0.998125,0.94125,0.9275,0.99,0.9375,0.0075,/content/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/checkpoint_best.pt,Best checkpoint selected by validation NT-Xent loss.
hybrid_transformer_extended_embed128,hybrid_transformer,extended,128,3,2.017947733402252,0.99625,1.0,1.0,0.998125,0.0725,0.17875,0.6375,0.52,0.2525,/content/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/checkpoint_best.pt,Best checkpoint selected by validation NT-Xent loss.
hybrid_transformer_extended_embed256,hybrid_transformer,extended,256,3,2.2801624326144947,0.99625,1.0,1.0,0.998125,0.0875,0.165,0.50875,0.45,0.25125,/content/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/checkpoint_best.pt,Best checkpoint selected by validation NT-Xent loss.
frozen_mert_extended_embed128,frozen_mert,extended,128,4,0.559461803585291,0.99625,1.0,1.0,0.998125,0.5075,0.30125,0.79375,0.94875,0.535,/content/song_fingerprinting_outputs/frozen_mert_extended_embed128/checkpoint_best.pt,Best checkpoint selected by validation NT-Xent loss.
