run_id,required,source_root,checkpoint_path,checkpoint_exists,metrics_path,metrics_exists,config_path,config_exists,degradation_path,degradation_exists,model_name,augmentation_profile,embed_dim,freeze_backbone
hybrid_transformer_baseline_embed128,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/checkpoint_best.pt,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/metrics.csv,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/config.json,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/degradation_breakdown.csv,True,hybrid_transformer,baseline,128,False
hybrid_transformer_extended_embed128,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/checkpoint_best.pt,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/metrics.csv,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/config.json,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/degradation_breakdown.csv,True,hybrid_transformer,extended_existing,128,False
cnn_baseline_embed128,False,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/checkpoint_best.pt,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/metrics.csv,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/config.json,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/degradation_breakdown.csv,True,cnn,baseline,128,False
frozen_mert_extended_embed128,False,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/checkpoint_best.pt,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/metrics.csv,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/config.json,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/degradation_breakdown.csv,True,frozen_mert,extended_existing,128,True
hybrid_transformer_extended_embed256,False,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/checkpoint_best.pt,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/metrics.csv,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/config.json,True,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/degradation_breakdown.csv,True,hybrid_transformer,extended_existing,256,False
