run_id,expected_source,resolved_dir,status,checkpoint_path,checkpoint_state,config_path,config_state,history_path,history_state,degradation_path,degradation_exists,model_name,augmentation_profile,embed_dim,freeze_backbone
cnn_baseline_embed128,notebook2,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/config.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/cnn_baseline_embed128/degradation_breakdown.csv,True,cnn,baseline,128,False
frozen_mert_extended_embed128,notebook2,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/config.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/frozen_mert_extended_embed128/degradation_breakdown.csv,True,frozen_mert,extended_existing,128,True
hybrid_transformer_baseline_embed128,notebook2,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/config.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_baseline_embed128/degradation_breakdown.csv,True,hybrid_transformer,baseline,128,False
hybrid_transformer_extended_embed128,notebook2,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/config.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed128/degradation_breakdown.csv,True,hybrid_transformer,extended_existing,128,False
hybrid_transformer_extended_embed256,notebook2,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/config.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook2/run_20260403_020813/song_fingerprinting_outputs/hybrid_transformer_extended_embed256/degradation_breakdown.csv,True,hybrid_transformer,extended_existing,256,False
hybrid_transformer_filters_only_embed128,notebook3,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_filters_only_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_filters_only_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_filters_only_embed128/training_summary.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_filters_only_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_filters_only_embed128/training_summary.json,True,hybrid_transformer,filters_only,128,False
hybrid_transformer_one_of_k_embed128,notebook3,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_one_of_k_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_one_of_k_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_one_of_k_embed128/training_summary.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_one_of_k_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_one_of_k_embed128/training_summary.json,True,hybrid_transformer,one_of_k,128,False
hybrid_transformer_severity_controlled_embed128,notebook3,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_severity_controlled_embed128,valid,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_severity_controlled_embed128/checkpoint_best.pt,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_severity_controlled_embed128/training_summary.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_severity_controlled_embed128/history.json,ok,/content/drive/MyDrive/transformer_fingerprinting/artifacts/notebook3/run_20260403_052715/notebook3_robustness/checkpoints/hybrid_transformer_severity_controlled_embed128/training_summary.json,True,hybrid_transformer,severity_controlled,128,False
