run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,clean_top1,combined_moderate_top1,highpass_top1,lowpass_top1,noise_top1,pitch_top1,time_top1,realistic_hard_top1,mean_degraded_top1,worst_condition_top1,robustness_gap,latency_ms,index_size_mb,mrr,ranking_score
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,0.8645833333333334,0.24525000000000002,0.02392857142857143,0.5425000000000001,0.7030357142857143,0.5742857142857142,0.8014285714285715,,0.48173809523809524,0.02392857142857143,0.3828452380952381,0.10623308651397186,1.1719179153442383,0.644572575855973,0.47490090033989707
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,0.8633333333333333,0.24425,0.023214285714285715,0.5367857142857143,0.6980357142857143,0.5719642857142857,0.7971428571428572,,0.47856547619047624,0.023214285714285715,0.38476785714285705,0.08390072814584451,1.2220563888549805,0.6402355043671426,0.4739603644872417
cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,exact_ip,exact_ip,0.7740277777777778,0.194,0.023571428571428573,0.5264285714285715,0.655,0.5589285714285714,0.7244642857142857,,0.4470654761904762,0.023571428571428573,0.32696230158730155,0.09717883502085241,0.3906679153442383,0.6010245804958434,0.4618456171337541
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,0.8527777777777777,0.238,0.02142857142857143,0.51875,0.6714285714285715,0.5510714285714285,0.7791071428571429,,0.463297619047619,0.02142857142857143,0.38948015873015873,0.10825023281247721,1.2220563888549805,0.6246392144529259,0.461838422443687
cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfflat_nprobe8,ivfflat,0.7736111111111111,0.1915,0.023571428571428573,0.5233928571428571,0.6537499999999999,0.5582142857142858,0.7232142857142857,,0.44560714285714287,0.023571428571428573,0.32800396825396827,0.0873395958681158,0.4092588424682617,0.599420487210258,0.46127835922195354
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfpq_nprobe4,ivfpq,0.8126388888888889,0.177,0.019285714285714288,0.4741071428571429,0.6201785714285714,0.495,0.7376785714285715,,0.42054166666666665,0.019285714285714288,0.39209722222222226,0.0828904886874966,0.21184158325195312,0.5951718725088415,0.4566135777406628
cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfflat_nprobe4,ivfflat,0.7698611111111111,0.18425,0.0225,0.5083928571428571,0.6382142857142857,0.5430357142857143,0.7135714285714286,,0.43499404761904764,0.0225,0.33486706349206347,0.08287730779857662,0.4092588424682617,0.5882003549410368,0.4547966380662805
cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfpq_nprobe4,ivfpq,0.7394444444444445,0.162,0.022857142857142857,0.48375,0.6055357142857142,0.5105357142857143,0.6855357142857142,,0.41170238095238093,0.022857142857142857,0.32774206349206353,0.08250429606247027,0.15587997436523438,0.5709819265869663,0.44809248394966866
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,0.7795833333333334,0.20175,0.01767857142857143,0.40464285714285714,0.5194642857142857,0.41696428571428573,0.6294642857142857,,0.36499404761904763,0.01767857142857143,0.41458928571428577,0.11039284340276682,1.2220563888549805,0.5247726235378741,0.3980379924182201
cnn_baseline_embed128,notebook2,cnn,baseline,128,single_center,ivfflat_nprobe1,ivfflat,0.6890277777777778,0.14950000000000002,0.01535714285714286,0.3985714285714286,0.48910714285714285,0.4008928571428571,0.56375,,0.33619642857142856,0.01535714285714286,0.35283134920634923,0.08305965097916139,0.4092588424682617,0.4844690285598415,0.3892922250379911
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,single_center,ivfflat_nprobe8,ivfflat,0.5423611111111111,0.135,0.2948214285714285,0.5255357142857143,0.27982142857142855,0.1682142857142857,0.39678571428571424,,0.3000297619047619,0.135,0.2423313492063492,0.08525471150692157,0.4092588424682617,0.4628866076118631,0.38618834920277234
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,single_center,exact_ip,exact_ip,0.5426388888888889,0.135,0.295,0.5264285714285715,0.2810714285714286,0.1689285714285714,0.39732142857142855,,0.300625,0.135,0.24201388888888892,0.1005862194860659,0.3906679153442383,0.4636672869992623,0.3857779029414447
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,single_center,ivfflat_nprobe4,ivfflat,0.5404166666666667,0.13475,0.2889285714285714,0.5221428571428571,0.2741071428571428,0.16553571428571429,0.3894642857142857,,0.2958214285714286,0.13475,0.24459523809523803,0.08573282454162583,0.4092588424682617,0.4570467802125534,0.3832308262442736
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,single_center,exact_ip,exact_ip,0.5622222222222222,0.1045,0.34785714285714286,0.5110714285714286,0.3464285714285714,0.1625,0.3246428571428571,,0.29950000000000004,0.1045,0.26272222222222213,0.09960975306948208,0.3906679153442383,0.45664720386173174,0.3791784924819383
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,single_center,ivfflat_nprobe8,ivfflat,0.5602777777777779,0.10499999999999998,0.3469642857142857,0.5096428571428572,0.34125,0.16160714285714287,0.31999999999999995,,0.2974107142857143,0.10499999999999998,0.26286706349206357,0.08462638022219457,0.4092588424682617,0.453623333343766,0.37856949975484644
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,0.6258333333333334,0.1745,0.0066071428571428574,0.4569642857142857,0.46017857142857144,0.4326785714285714,0.5328571428571428,,0.3439642857142857,0.0066071428571428574,0.28186904761904763,0.08344424936807274,1.2220563888549805,0.5034477783282537,0.3777141121883931
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,multi3_even,exact_ip,exact_ip,0.6258333333333334,0.17525,0.0066071428571428574,0.4633928571428572,0.46017857142857144,0.44125000000000003,0.5342857142857144,,0.34682738095238097,0.0066071428571428574,0.2790059523809524,0.11263966922915516,1.1719179153442383,0.5074667761747288,0.3777029178273555
