run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,regime_name,condition_name,query_length_seconds,top1,top5,top10,mrr,query_group_count
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,clean,2.0,0.72625,0.85375,0.90875,0.7918936688311689,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,clean,3.0,0.7625,0.9075,0.9275,0.8278810876623376,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,highpass,1.0,0.01125,0.035,0.05625,0.10919376803751803,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,highpass,2.0,0.015,0.03125,0.055,0.10962040043290042,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,highpass,3.0,0.01625,0.045,0.05375,0.11303463203463203,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,lowpass,1.0,0.37125,0.6,0.7,0.49582877886002885,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,lowpass,2.0,0.40875,0.65,0.72875,0.5366313131313131,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,lowpass,3.0,0.40625,0.645,0.72375,0.5324454816017316,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,noise,1.0,0.3975,0.62375,0.73625,0.5218230068542568,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,noise,2.0,0.5475,0.75625,0.8125,0.6552468434343435,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,noise,3.0,0.59375,0.8,0.85375,0.6922230339105339,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,pitch,1.0,0.335,0.61375,0.71875,0.4803489357864358,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,pitch,2.0,0.45375,0.7225,0.7975,0.589129329004329,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,pitch,3.0,0.4775,0.77375,0.8425,0.6101544913419913,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,time,1.0,0.52375,0.75875,0.82,0.637812049062049,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,time,2.0,0.655,0.83125,0.895,0.7414145021645021,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,exact_ip,exact_ip,short_offcenter,time,3.0,0.70625,0.86875,0.9075,0.7819621663059163,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,clean,3.0,0.99625,1.0,1.0,0.998125,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,highpass,3.0,0.02125,0.03625,0.04375,0.11480681818181818,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,lowpass,3.0,0.52375,0.60375,0.625,0.5924123376623376,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,noise,3.0,0.7125,0.76875,0.7775,0.7573954274891775,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,pitch,3.0,0.56875,0.68875,0.70375,0.6491778499278499,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,clean_current,time,3.0,0.8125,0.84375,0.85375,0.8413857323232324,800
